SP,Taquarituba,-49.24444,-23.53354
SP,Americana,-47.33142,-22.73955
SP,Sales,-49.48543,-21.34154
SP,Itobi,-46.97542,-21.73754
SP,Brotas,-48.12743,-22.28454
SP,Caconde,-46.64441,-21.52954
SP,Santo Antônio do Jardim,-46.68042,-22.11655
SP,Itatinga,-48.61643,-23.10254
SP,Bariri,-48.74043,-22.07454
SP,Taiúva,-48.45243,-21.12454
SP,Anhumas,-51.38745,-22.29553
SP,Rosana,-53.05946,-22.58053
SP,Ferraz de Vasconcelos,-46.36942,-23.54155
SP,Registro,-47.84443,-24.48855
SP,Valinhos,-46.99642,-22.97155
SP,Torre de Pedra,-48.19543,-23.24454
SP,Santa Rosa de Viterbo,-47.36342,-21.47354
SP,Nova Granada,-49.31443,-20.53453
SP,Planalto,-49.92944,-21.03453
SP,Luiziânia,-50.32744,-21.67653
SP,Jaú,-48.55843,-22.29654
SP,Peruíbe,-46.99843,-24.32055
SP,Parisi,-50.01544,-20.30453
SP,Santa Gertrudes,-47.53042,-22.45754
SP,Rafard,-47.52743,-23.01255
SP,Cássia dos Coqueiros,-47.17042,-21.28354
SP,São Miguel Arcanjo,-47.99743,-23.87855
SP,Paulistânia,-49.40344,-22.57854
SP,Morungaba,-46.79242,-22.88055
SP,Jarinu,-46.72842,-23.10155
SP,Lutécia,-50.39244,-22.34054
SP,Palmeira d&apos,Oeste,-50.76244
SP,Dirce Reis,-50.60644,-20.46653
SP,Araras,-47.38442,-22.35754
SP,Divinolândia,-46.73942,-21.66154
SP,Coronel Macedo,-49.31444,-23.63154
SP,Piedade,-47.42843,-23.71255
SP,Santo Antônio do Pinhal,-45.66341,-22.82755
SP,São João da Boa Vista,-46.79842,-21.96954
SP,Itaí,-49.09144,-23.41854
SP,Fernando Prestes,-48.68543,-21.26454
SP,Lorena,-45.12541,-22.73155
SP,Gastão Vidigal,-50.18744,-20.79953
SP,Iacanga,-49.02543,-21.89054
SP,Pindorama,-48.90743,-21.18654
SP,Piquerobi,-51.72945,-21.86853
SP,Araçariguama,-47.06142,-23.43955
