PA,São José de Espinharas,-37.32632,-6.84748,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2514404
MS,Angélica,-53.77147,-22.15353,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5000856
SP,Agudos,-48.98843,-22.46954,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3500709
PI,Francisco Santos,-41.13835,-6.99348,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2204204
SC,Brusque,-48.91845,-27.09855,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4202909
ES,Apiacá,-41.56838,-21.15455,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3200508
CE,Martinópole,-40.69734,-3.22646,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2307908
SP,Cafelândia,-49.61044,-21.80354,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3508801
PA,Assunção,-36.73132,-7.07449,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2501351
ES,Governador Lindenberg,-40.46136,-19.25255,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3202256
GO,Córrego do Ouro,-50.54843,-16.29452,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5205703
MG,Coronel Xavier Chaves,-44.2234,-21.02455,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3119708
MG,Cordisburgo,-44.32139,-19.12554,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3118908
RS,Áurea,-52.04948,-27.69854,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4301552
RS,Pelotas,-52.3435,-31.77255,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4314407
PE,Santa Cruz da Baixa Verde,-38.15333,-7.82149,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2612471
MG,Bandeira,-40.55936,-15.88553,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3105202
MG,Cajuri,-42.79738,-20.79155,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3110202
RS,Muçum,-51.86848,-29.16555,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4312609
PA,Tucumã,-51.16142,-6.74847,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1508084
MG,Lagamar,-46.80841,-18.17853,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3137106
SP,Taiúva,-48.45243,-21.12454,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3553203
BA,Barrocas,-39.07834,-11.52951,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2903276
SP,Cordeirópolis,-47.45742,-22.48254,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3512407
GO,Uirapuru,-49.92242,-14.28551,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5221577
RN,Serrinha,-35.49931,-6.27648,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2413508
MG,Pedras de Maria da Cruz,-44.39138,-15.60752,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3149150
SP,Nova Europa,-48.56143,-21.77854,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3532900
PE,Vitória de Santo Antão,-35.2913,-8.11849,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2616407
SP,Santa Adélia,-48.80443,-21.24354,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3545605
RN,Encanto,-38.30633,-6.11148,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2403301
